source,force,target
MQRF_293,0.423361697767599,MQRF_39
MQRF_304,0.438783092102789,MQRF_39
MQRF_322,0.415045075830941,MQRF_39
MQRF_334,0.435532258291381,MQRF_39
MQRF_360,0.431822036053404,MQRF_39
MQRF_376,0.405242593788283,MQRF_39
MQRF_378,0.439225807399037,MQRF_39
MQRF_485,0.434295802218883,MQRF_39
MQRF_488,0.512913309803789,MQRF_39
MQRF_489,0.451054935440334,MQRF_39
MQRF_539,0.414642278424842,MQRF_39
MQRF_543,0.426367402603836,MQRF_39
MQRF_556,0.411464562082231,MQRF_39
MQRF_620,0.448782656306711,MQRF_39
MQRF_641,0.489905725331795,MQRF_39
MQRF_652,0.436534977241534,MQRF_39
MQRF_653,0.41403402233512,MQRF_39
MQRF_655,0.439416821211423,MQRF_39
MQRF_37,0.416087261329492,MQRF_40
MQRF_40,1.0,MQRF_40
MQRF_53,0.471631221695997,MQRF_40
MQRF_94,0.459298197186896,MQRF_40
MQRF_129,0.482479096544016,MQRF_40
MQRF_136,0.420887966274905,MQRF_40
MQRF_180,0.415941074513242,MQRF_40
MQRF_200,0.43995662931583,MQRF_40
MQRF_260,0.474769333143287,MQRF_40
MQRF_263,0.48873407873797,MQRF_40
MQRF_266,0.400127098500847,MQRF_40
MQRF_272,0.403246586224558,MQRF_40
MQRF_304,0.455077354622072,MQRF_40
MQRF_341,0.448084749152579,MQRF_40
MQRF_449,0.546012713548552,MQRF_40
MQRF_471,0.426781437994598,MQRF_40
MQRF_472,0.413598616146115,MQRF_40
MQRF_481,0.422285251596083,MQRF_40
MQRF_556,0.423756795387126,MQRF_40
MQRF_557,0.456775994529626,MQRF_40
MQRF_581,0.401966170736892,MQRF_40
MQRF_591,0.414228505337098,MQRF_40
MQRF_598,0.442254010322191,MQRF_40
MQRF_619,0.414438486421509,MQRF_40
MQRF_638,0.412499948787483,MQRF_40
MQRF_655,0.422971493616065,MQRF_40
MQRF_668,0.462051719870176,MQRF_40
MQRF_676,0.428708733306196,MQRF_40
MQRF_682,0.439761552398193,MQRF_40
MQRF_41,1.0,MQRF_41
MQRF_584,0.585344429057508,MQRF_41
MQRF_42,1.0,MQRF_42
MQRF_43,0.400934603516505,MQRF_42
MQRF_375,0.414597233493619,MQRF_42
MQRF_496,0.419881831002398,MQRF_42
MQRF_508,0.416866438009759,MQRF_42
MQRF_513,0.472207277118141,MQRF_42
MQRF_556,0.437463035706652,MQRF_42
MQRF_638,0.408207455428777,MQRF_42
MQRF_34,0.41627943009211,MQRF_43
MQRF_42,0.400934603516505,MQRF_43
MQRF_43,1.0,MQRF_43
MQRF_88,0.413538191834972,MQRF_43
MQRF_90,0.406359180250972,MQRF_43
MQRF_109,0.578601098616842,MQRF_43
MQRF_198,0.572871546254002,MQRF_43
MQRF_201,0.43867576528162,MQRF_43
MQRF_264,0.423572197710232,MQRF_43
MQRF_272,0.400375676896139,MQRF_43
MQRF_304,0.451222834480368,MQRF_43
MQRF_336,0.408844610508932,MQRF_43
MQRF_341,0.412065469929728,MQRF_43
MQRF_359,0.40577900936049,MQRF_43
MQRF_471,0.425746104353135,MQRF_43
MQRF_488,0.419575000966501,MQRF_43
MQRF_508,0.417021332579757,MQRF_43
MQRF_513,0.415858456562416,MQRF_43
MQRF_514,0.4111364435189,MQRF_43
MQRF_561,0.418177338110158,MQRF_43
MQRF_44,1.0,MQRF_44
MQRF_60,0.404238499858649,MQRF_44
MQRF_69,0.415308718706626,MQRF_44
MQRF_87,0.447070423154407,MQRF_44
MQRF_92,0.418967344027763,MQRF_44
MQRF_107,0.410057225249122,MQRF_44
MQRF_112,0.469689031234005,MQRF_44
MQRF_118,0.576926986298317,MQRF_44
MQRF_139,0.411259995368845,MQRF_44
MQRF_190,0.430603660049904,MQRF_44
MQRF_195,0.471089218956604,MQRF_44
MQRF_200,0.442188620104489,MQRF_44
MQRF_209,0.437642228033773,MQRF_44
MQRF_220,0.426432626394064,MQRF_44
MQRF_260,0.44440197024249,MQRF_44
MQRF_272,0.430264097071736,MQRF_44
MQRF_294,0.413204119806802,MQRF_44
MQRF_303,0.422816045166583,MQRF_44
MQRF_304,0.400696003066599,MQRF_44
MQRF_306,0.429554376933542,MQRF_44
MQRF_311,0.460787028122613,MQRF_44
MQRF_351,0.509442557475446,MQRF_44
MQRF_353,0.424060439330818,MQRF_44
MQRF_357,0.417635376127933,MQRF_44
MQRF_373,0.403090517864494,MQRF_44
MQRF_374,0.405157859857638,MQRF_44
MQRF_376,0.444565020797956,MQRF_44
MQRF_382,0.536552046063095,MQRF_44
MQRF_405,0.415218551144709,MQRF_44
MQRF_447,0.4017534878424,MQRF_44
MQRF_481,0.444380728487206,MQRF_44
MQRF_487,0.42301997320235,MQRF_44
MQRF_508,0.483993555934059,MQRF_44
MQRF_510,0.404525241758927,MQRF_44
MQRF_519,0.402048186954932,MQRF_44
MQRF_539,0.403876927781605,MQRF_44
MQRF_546,0.463980176068984,MQRF_44
MQRF_551,0.448003526433397,MQRF_44
MQRF_552,0.411988882302723,MQRF_44
MQRF_556,0.409210703236358,MQRF_44
MQRF_557,0.427207427212626,MQRF_44
MQRF_561,0.418147262274997,MQRF_44
MQRF_562,0.420853502719789,MQRF_44
MQRF_594,0.410837774594559,MQRF_44
MQRF_597,0.406586757985398,MQRF_44
MQRF_598,0.441927211579317,MQRF_44
MQRF_601,0.464345244055933,MQRF_44
MQRF_602,0.480137358582074,MQRF_44
MQRF_603,0.423048806699495,MQRF_44
MQRF_604,0.429869767291803,MQRF_44
MQRF_605,0.482815515514215,MQRF_44
MQRF_608,0.419758003732113,MQRF_44
MQRF_634,0.404323715900055,MQRF_44
MQRF_638,0.438374499568031,MQRF_44
MQRF_644,0.425724992355163,MQRF_44
MQRF_648,0.480646772016118,MQRF_44
MQRF_652,0.412023779292204,MQRF_44
MQRF_655,0.426658547113773,MQRF_44
MQRF_657,0.405090270976455,MQRF_44
MQRF_45,1.0,MQRF_45
MQRF_515,0.402204631817408,MQRF_45
MQRF_556,0.404648120752924,MQRF_45
MQRF_28,0.432162108764281,MQRF_46
MQRF_31,0.422249918442345,MQRF_46
MQRF_46,1.0,MQRF_46
MQRF_47,0.475590039274491,MQRF_46
MQRF_48,0.404687522354099,MQRF_46
MQRF_52,0.400984498528454,MQRF_46
MQRF_63,0.413537080263672,MQRF_46
MQRF_69,0.417385437461033,MQRF_46
MQRF_70,0.60610159510549,MQRF_46
MQRF_73,0.422464266015304,MQRF_46
MQRF_110,0.439956915363813,MQRF_46
MQRF_111,0.414838468334889,MQRF_46
MQRF_112,0.497019716309049,MQRF_46
MQRF_180,0.658060866951305,MQRF_46
MQRF_181,0.590084003490767,MQRF_46
MQRF_187,0.412614118532175,MQRF_46
MQRF_198,0.418070868635273,MQRF_46
MQRF_224,0.627342348563058,MQRF_46
MQRF_225,0.579173184834701,MQRF_46
MQRF_226,0.41011510686351,MQRF_46
MQRF_228,0.427970709869403,MQRF_46
MQRF_268,0.430296529164876,MQRF_46
MQRF_269,0.634965694423726,MQRF_46
MQRF_270,0.579734763189767,MQRF_46
MQRF_271,0.527454828621039,MQRF_46
MQRF_272,0.460263919529731,MQRF_46
MQRF_276,0.487552496237174,MQRF_46
MQRF_278,0.430233338457704,MQRF_46
MQRF_284,0.432676405210164,MQRF_46
MQRF_285,0.522529010235064,MQRF_46
